Senior management occupations [A0] ,"president, ethnic association"
Senior management occupations [A0] ,"president, health care association"
Senior management occupations [A0] ,"president, labour organization"
Senior management occupations [A0] ,"president, music guild"
Senior management occupations [A0] ,"president, political party"
Senior management occupations [A0] ,"president, sports association"
Senior management occupations [A0] ,rector - education
Senior management occupations [A0] ,"regional vice-president - health, education, social and community services and membership organizations"
Senior management occupations [A0] ,scientific association chairperson
Senior management occupations [A0] ,"support services vice-president - health, education, social and community services and membership organizations"
Senior management occupations [A0] ,trade school general manager
Senior management occupations [A0] ,union association president
Senior management occupations [A0] ,university president
Senior management occupations [A0] ,"vice-president - health, education, social and community services and membership organizations"
Senior management occupations [A0] ,automobile association executive director
Senior management occupations [A0] ,broadcasting corporation president
Senior management occupations [A0] ,"CEO (chief executive officer) - trade, broadcasting and other services"
Senior management occupations [A0] ,"CEO (chief executive officer), deputy - trade, broadcasting and other services"
Senior management occupations [A0] ,"CEO (chief executive officer), travel agency"
Senior management occupations [A0] ,"CFO (chief financial officer) - trade, broadcasting and other services"
Senior management occupations [A0] ,"CFO (chief financial officer), professional sports club"
Senior management occupations [A0] ,"chairman / woman - trade, broadcasting and other services"
Senior management occupations [A0] ,"chairperson - trade, broadcasting and other services"
Senior management occupations [A0] ,"chief executive officer (CEO) - trade, broadcasting and other services"
Senior management occupations [A0] ,"chief executive officer (CEO), deputy - trade, broadcasting and other services"
Senior management occupations [A0] ,"chief executive officer (CEO), travel agency"
Senior management occupations [A0] ,"chief financial officer (CFO) - trade, broadcasting and other services"
Senior management occupations [A0] ,"chief financial officer (CFO), professional sports club"
Senior management occupations [A0] ,"chief operating officer - trade, broadcasting and other services"
Senior management occupations [A0] ,cleaning service general manager
Senior management occupations [A0] ,"corporate controller - trade, broadcasting and other services"
Senior management occupations [A0] ,"corporate controller, restaurant chain"
Senior management occupations [A0] ,department store president
Senior management occupations [A0] ,"deputy chief executive officer (CEO) - trade, broadcasting and other services"
Senior management occupations [A0] ,engineering vice-president - television broadcasting services
Senior management occupations [A0] ,"engineering vice-president - trade, broadcasting and other services"
Senior management occupations [A0] ,"executive director - trade, broadcasting and other services"
Senior management occupations [A0] ,"executive director, automobile association"
Senior management occupations [A0] ,executive vice-president - metal and metal products wholesaler
Senior management occupations [A0] ,"executive vice-president - trade, broadcasting and other services"
Senior management occupations [A0] ,"finance and administration vice-president - trade, broadcasting and other services"
Senior management occupations [A0] ,finance vice-president - food wholesaling
